[[[ Short Speed Tests ]]]

Bulk results are in bytes/cycle, short results are in cycles/hash

Name                             Bulk     1-8 bytes    9-16 bytes  17-24 bytes  28-32 bytes  
fletcher4.64                      1.91       19.16        22.72        26.33        30.26  
fletcher2                         4.92       27.11        28.08        29.44        30.33  
fletcher4                         1.91       25.62        29.44        33.11        37.11  
floppsyhash                       0.05      638.63       796.50       956.94      1117.05  
floppsyhash.old                   0.04      583.65       804.88      1011.96      1204.58  
fibonacci-32                     15.97       16.18        34.38        36.68        40.50  
FNV-1a-32                         0.25       55.02        87.00       119.00       151.00  
FNV-1a-32.wordwise                1.00       25.10        33.06        41.00        49.00  
FNV-Mulvey                        0.25       65.00        97.00       129.00       161.00  
FNV-PippipYurii                   2.00       30.02        37.53        38.52        45.86  
FNV-Totenschiff                   2.00       29.89        33.71        37.74        41.83  
FNV-YoshimitsuTRIAD               5.26       25.00        26.00        31.04        35.02  
fibonacci-64                      9.56       25.79        26.73        27.77        44.62  
FNV-1a-64                         0.25       55.00        87.00       119.00       151.00  
FNV-1a-64.wordwise                2.00       35.95        40.12        43.80        47.75  
FNV-1a-128                        0.19       69.90       111.07       152.28       193.67  
GoodhartHash1                     5.30       76.41        75.90        77.03        76.81  
GoodhartHash2                     5.32       78.20        78.46        78.63        78.68  
GoodhartHash3                     0.44      107.21       142.73       147.23       178.22  
GoodhartHash4                     1.32       83.32        97.25        99.02       109.57  
GoodhartHash5                     1.06       86.63       102.61       104.59       118.14  
GoodhartHash6                     1.06      117.97       135.12       137.34       150.77  
gxhash-64                        19.41       36.75        43.22        41.25        44.76  
gxhash                           19.43       36.75        42.87        41.00        44.03  
HalftimeHash-64                   2.02       82.91        85.58        89.14       125.42  
HalftimeHash-128                  6.86       90.70        97.79       103.26        98.63  
HalftimeHash-256                 11.84      100.71       100.78       100.13       108.52  
HalftimeHash-512                  9.53      115.14       112.64       112.54       110.56  
hasshe2                           0.92       87.24       110.36       114.00       129.82  
hasshe2.tweaked                   0.92       87.30       110.89       114.37       130.04  
jodyhash-32                       0.57       30.40        44.48        58.28        72.53  
jodyhash-64                       1.98       28.81        34.19        38.07        46.27  
khash-32                          1.39       36.54        70.63        75.03        76.77  
khash-64                          1.56       42.17        43.42        47.46        73.28  
khashv-32                         3.19       58.85        62.97        63.36        67.19  
khashv-64                         3.20       57.57        61.86        62.81        66.68  
komihash                          6.24       30.75        38.36        37.82        44.93  
lookup3.32                        0.81       28.46        39.41        50.92        58.77  
lookup3                           0.81       28.72        39.49        50.66        58.92  
MeowHash.32                      12.32       64.68        62.58        62.58        61.94  
MeowHash.64                      12.32       64.68        62.59        62.58        61.94  
MeowHash                         12.31       64.68        62.59        62.58        61.94  
MetroHash-64                      4.99       43.20        48.19        54.09        72.95  
MetroHash-64.var1                 4.98       43.06        48.04        54.03        72.73  
MetroHash-64.var2                 5.02       43.20        48.18        54.23        72.98  
MetroHashCrc-64.var1              7.95       47.89        53.01        58.44        74.82  
MetroHashCrc-64.var2              7.95       47.84        52.98        58.48        74.74  
MetroHash-128                     5.02       52.77        60.60        65.15        77.51  
MetroHash-128.var1                4.99       53.00        60.53        65.01        78.70  
MetroHash-128.var2                5.00       53.03        60.52        65.03        78.51  
MetroHashCrc-128.var1             7.94       60.34        64.52        72.34        78.90  
MetroHashCrc-128.var2             7.94       60.34        64.52        72.34        78.90  
multiply-shift-32                 1.51       17.07        20.16        21.61        51.73  
pair-multiply-shift-32            2.20       26.52        27.45        28.30        29.51  
multiply-shift                    1.80       27.43        28.88        30.10        32.23  
pair-multiply-shift               1.86       26.85        31.21        32.40        36.34  
mulxp1-hash32                     7.81       27.28        30.17        31.48        57.46  
mulxp3-hash32                     5.07       24.96        29.04        28.39        46.15  
mulxp1-hash                       2.86       31.75        33.08        34.43        35.53  
mulxp3-hash                       4.99       30.18        31.23        31.69        32.56  
mir.exact                         2.20       37.00        44.14        44.91        51.46  
mir.inexact                       1.33       46.35        56.40        57.12        66.29  
mum1.exact.unroll1                2.56       37.27        42.62        44.49        49.24  
mum1.exact.unroll2                4.11       37.18        39.21        40.05        44.80  
mum1.exact.unroll3                4.36       37.27        38.44        40.20        41.12  
mum1.exact.unroll4                3.99       37.25        38.64        40.10        40.93  
mum1.inexact.unroll1              1.14       49.47        58.08        60.83        68.44  
mum1.inexact.unroll2              1.21       49.63        51.28        52.63        64.99  
mum1.inexact.unroll3              1.33       49.91        51.65        52.76        76.09  
mum1.inexact.unroll4              1.86       50.17        51.80        53.20        75.74  
mum2.exact.unroll1                2.57       32.84        38.48        39.67        45.06  
mum2.exact.unroll2                4.09       32.98        34.28        34.98        39.75  
mum2.exact.unroll3                4.36       32.82        34.41        35.17        36.29  
mum2.exact.unroll4                3.99       32.99        33.85        34.95        36.90  
mum2.inexact.unroll1              1.14       42.03        50.99        53.67        61.38  
mum2.inexact.unroll2              1.26       41.24        43.33        45.02        56.78  
mum2.inexact.unroll3              1.32       41.86        43.35        44.38        67.78  
mum2.inexact.unroll4              1.86       42.14        43.53        45.44        68.61  
mum3.exact.unroll1                2.61       30.06        35.46        37.22        41.69  
mum3.exact.unroll2                4.99       30.14        31.29        32.49        36.62  
mum3.exact.unroll3                5.93       30.27        31.24        32.36        33.69  
mum3.exact.unroll4                5.85       30.82        32.32        33.45        35.33  
mum3.inexact.unroll1              1.38       37.20        47.02        49.60        56.87  
mum3.inexact.unroll2              1.81       37.20        37.89        39.61        50.69  
mum3.inexact.unroll3              2.02       37.64        39.26        40.79        63.28  
mum3.inexact.unroll4              1.97       37.83        39.50        41.91        67.25  
MurmurHash1                       0.67       39.40        51.49        63.50        75.30  
MurmurHash2-32                    1.00       34.85        42.75        50.86        58.83  
MurmurHash2a                      1.00       39.08        47.04        55.17        63.00  
MurmurHash2-64                    2.00       43.17        47.18        51.19        55.23  
MurmurHash2-64.int32              1.33       42.36        46.16        50.18        54.00  
MurmurHash3-32                    1.00       39.92        48.09        56.86        64.99  
MurmurHash3-128                   2.36       43.24        53.98        55.09        60.04  
MurmurHash3-128.int32             1.63       44.99        48.37        48.90        58.22  
MurmurOAAT                        0.17       78.00       126.00       174.00       222.00  
MuseAir                           7.18       29.79        27.66        27.60        45.86  
MuseAir.bfast                     8.62       26.93        25.55        26.35        44.84  
MuseAir-128                       7.13       31.79        29.96        30.28        47.69  
MuseAir-128.bfast                 8.16       31.79        29.99        30.33        46.68  
mx3.v1                            3.21       50.27        53.98        58.07        54.86  
mx3.v2                            3.21       52.37        56.02        60.16        57.18  
mx3.v3                            3.76       50.46        55.10        58.75        62.69  
NMHASH                            7.69       55.36        56.54        53.00        80.34  
NMHASHX                           7.69       34.69        43.75        49.65        60.95  
Pearson-64                        0.14       93.59       149.58       205.58       261.59  
Pearson-128                       0.14       89.50       145.51       201.50       257.50  
Pearson-256                       0.14       93.89       152.14       209.47       266.90  
PearsonBlock-64                   0.57       96.01       109.90       124.03       137.85  
PearsonBlock-128                  0.53      103.34       119.15       133.42       149.01  
PearsonBlock-256                  0.33      155.18       179.68       203.44       227.57  
pengyhash                         3.79       91.36        90.11        90.88        87.29  
perl-djb2                         0.33       41.52        65.55        89.50       113.50  
perl-jenkins                      0.20       72.50       112.50       152.50       192.50  
perl-jenkins-hard                 0.20       92.50       132.50       172.50       212.50  
perl-jenkins-old                  0.20       72.50       112.50       152.50       192.50  
perl-sdbm                         0.25       52.00        84.00       116.00       148.00  
perl-zaphod32                     1.30       33.97        43.95        49.95        55.94  
perl-zaphod32.sbox128             1.31       21.29        22.74        47.12        55.93  
perl-zaphod32.sbox128.old         1.31       21.32        22.77        47.11        55.94  
perl-zaphod32.sbox96              1.31       21.26        22.74        47.13        55.89  
perl-stadtx                       4.73       40.98        45.01        48.34        52.84  
poly-mersenne.deg0                0.49       36.79        53.69        71.02        87.03  
poly-mersenne.deg1                0.50       43.63        60.71        77.02        93.86  
poly-mersenne.deg2                0.50       52.01        68.79        85.23       101.96  
poly-mersenne.deg3                0.50       60.71        76.79        93.46       110.33  
poly-mersenne.deg4                0.50       68.84        85.06       101.96       119.35  
polymurhash                       4.02       43.87        44.33        50.15        50.24  
polymurhash-tweakseed             4.02       43.08        43.72        50.49        50.53  
prvhash-64                        0.94       48.30        57.70        65.72        74.78  
prvhash-64.incr                   2.29      189.89       193.55       186.00       200.03  
prvhash-128                       0.92       67.19        79.47        83.79        97.11  
prvhash-128.incr                  2.17      280.77       279.56       273.26       282.84  
rainbow                           1.28       45.46        79.00        80.96        87.25  
rainbow-128                       1.27       46.10        79.25        82.06        89.00  
rainbow-256                       1.27       61.50       117.31       119.31       126.31  
rainstorm                         0.58      185.20       187.95       188.65       187.97  
rainstorm-128                     0.58      197.56       200.24       200.61       199.50  
rainstorm-256                     0.59      241.96       243.69       244.80       243.02  
rapidhash                         8.80       30.72        35.49        36.25        41.45  
rapidhash.protected               6.60       31.47        37.84        38.36        44.55  
rapidhash-micro                   8.00       30.59        35.55        36.30        41.57  
rapidhash-micro.protected         6.50       31.59        37.70        38.46        44.51  
rapidhash-nano                    6.97       30.20        34.97        35.70        41.36  
rapidhash-nano.protected          5.70       31.51        36.84        37.33        43.80  
rust-ahash                        2.51       71.33        73.42        73.68        81.18  
rust-ahash.noshuf                 0.66       75.16        77.88        78.25        86.11  
rust-ahash-fb                     4.52       30.98        33.43        32.40        34.97  
rust-ahash-fb.nofold              3.46       32.55        35.46        34.55        37.43  
rust-fxhash32                     3.94       35.50        40.10        40.74        42.42  
rust-fxhash32.mix                 3.94       40.80        46.37        47.09        47.29  
rust-fxhash64                     4.99       30.00        35.06        35.83        36.20  
rust-fxhash64.mix                 4.99       38.38        43.14        43.83        44.47  
rust-fxhash64.mult32              3.94       31.64        36.66        37.25        38.53  
rust-fxhash64.mult32.mix          3.94       39.24        43.90        44.59        46.10  
rust-rapidhash                    8.65       34.73        40.59        41.44        46.52  
rust-rapidhash.seed               8.65       34.63        40.66        41.63        46.80  
rust-rapidhash.fast               8.66       24.48        29.70        30.49        35.91  
rust-rapidhash.fast.seed          8.65       24.16        29.98        30.77        36.78  
rust-rapidhash.p                  3.02       43.42        52.41        53.72        61.18  
rust-rapidhash.p.seed             3.02       44.50        52.31        53.50        61.37  
rust-rapidhash.p.fast             3.06       27.39        35.48        36.58        45.52  
rust-rapidhash.p.fast.seed        3.06       26.56        35.33        36.46        45.82  
seahash                           2.66       58.56        58.77        58.70        67.30  
TinySipHash                       1.50       41.83        47.09        52.39        57.20  
SpookyHash1-32                    4.40       50.68        73.98        72.70        74.71  
SpookyHash2-32                    4.40       50.99        75.27        76.81        75.70  
SpookyHash1-64                    4.40       50.67        73.97        72.68        74.70  
SpookyHash2-64                    4.40       50.99        75.27        76.76        75.69  
SpookyHash1-128                   4.40       56.14        77.61        76.57        78.30  
